# Collision profile from NEO-2 AUG 39461 neon discharge
# Energy per surface chosen to match NEO-2 effective collisionality
# Species: D+(1), Ne10+(10), Ne9+(9), Ne8+(8), e-(-1)
20 5
# s  n_D  n_Ne10  n_Ne9  n_Ne8  n_e  E_eV
0.10000000  8.902884e+13  4.900724e+11  4.163350e+10  2.609711e+09  9.432514e+13  999.1
0.14631579  8.339793e+13  4.771354e+11  5.432726e+10  4.637765e+09  8.869533e+13  816.8
0.19263158  7.926444e+13  4.633154e+11  6.815906e+10  7.578132e+09  8.457165e+13  712.4
0.23894737  7.651456e+13  4.481468e+11  8.665464e+10  1.257669e+10  8.187653e+13  657.9
0.28526316  7.467735e+13  4.307901e+11  1.100412e+11  2.072982e+10  8.014146e+13  626.4
0.33157895  7.339104e+13  4.102728e+11  1.348159e+11  3.238099e+10  7.896616e+13  600.8
0.37789474  7.249867e+13  3.853429e+11  1.561917e+11  4.665647e+10  7.813108e+13  573.5
0.42421053  7.190120e+13  3.564541e+11  1.715116e+11  6.246462e+10  7.750906e+13  542.0
0.47052632  7.150749e+13  3.260766e+11  1.806276e+11  7.882065e+10  7.702447e+13  507.1
0.51684211  7.124873e+13  2.963256e+11  1.844700e+11  9.506483e+10  7.663273e+13  470.4
0.56315789  7.108076e+13  2.684896e+11  1.843825e+11  1.107224e+11  7.631088e+13  434.0
0.60947368  7.096603e+13  2.430248e+11  1.815005e+11  1.255641e+11  7.603429e+13  399.1
0.65578947  7.089486e+13  2.201275e+11  1.767045e+11  1.393336e+11  7.580115e+13  366.3
0.70210526  7.084828e+13  1.995063e+11  1.706054e+11  1.520471e+11  7.559517e+13  336.0
0.74842105  7.081994e+13  1.811788e+11  1.636910e+11  1.634171e+11  7.541228e+13  308.1
0.79473684  7.080690e+13  1.649949e+11  1.563224e+11  1.731181e+11  7.524869e+13  282.6
0.84105263  7.085400e+13  1.462112e+11  1.462301e+11  1.835801e+11  7.510082e+13  258.9
0.88736842  7.077011e+13  1.153505e+11  1.264380e+11  1.950493e+11  7.462195e+13  236.0
0.93368421  6.480846e+13  7.188736e+10  8.967996e+10  1.721816e+11  6.771190e+13  178.3
0.98000000  4.982239e+13  3.293695e+10  4.850092e+10  1.030898e+11  5.141298e+13  86.9
